Confidence	NN	B-NP	B-NP
in	IN	B-PP	O
the	DT	B-NP	B-NP
pound	NN	I-NP	I-NP
is	VBZ	B-VP	I-NP
widely	RB	I-VP	I-NP
expected	VBN	I-VP	I-NP
to	TO	I-VP	I-NP
take	VB	I-VP	I-NP
another	DT	B-NP	I-NP
sharp	JJ	I-NP	I-NP
dive	NN	I-NP	I-NP
if	IN	B-SBAR	O
trade	NN	B-NP	B-NP
figures	NNS	I-NP	I-NP
for	IN	B-PP	O
September	NNP	B-NP	B-NP
,	,	O	I-NP
due	JJ	B-ADJP	I-NP
for	IN	B-PP	O
release	NN	B-NP	B-NP
tomorrow	NN	B-NP	I-NP
,	,	O	I-NP
fail	VB	B-VP	I-NP
to	TO	I-VP	I-NP
show	VB	I-VP	I-NP
a	DT	B-NP	I-NP
substantial	JJ	I-NP	I-NP
improvement	NN	I-NP	I-NP
from	IN	B-PP	O
July	NNP	B-NP	B-NP
and	CC	I-NP	I-NP
August	NNP	I-NP	I-NP
's	POS	B-NP	I-NP
near-record	JJ	I-NP	I-NP
deficits	NNS	I-NP	I-NP
.	.	O	I-NP
Chancellor	NNP	O	I-NP
of	IN	B-PP	O
the	DT	B-NP	B-NP
Exchequer	NNP	I-NP	I-NP
Nigel	NNP	B-NP	I-NP
Lawson	NNP	I-NP	I-NP
's	POS	B-NP	I-NP
restated	VBN	I-NP	I-NP
commitment	NN	I-NP	I-NP
to	TO	B-PP	I-NP
a	DT	B-NP	I-NP
firm	NN	I-NP	I-NP
monetary	JJ	I-NP	I-NP
policy	NN	I-NP	I-NP
has	VBZ	B-VP	I-NP
helped	VBN	I-VP	I-NP
to	TO	I-VP	I-NP
prevent	VB	I-VP	I-NP
a	DT	B-NP	I-NP
freefall	NN	I-NP	I-NP
in	IN	B-PP	O
sterling	NN	B-NP	B-NP
over	IN	B-PP	O
the	DT	B-NP	B-NP
past	JJ	I-NP	I-NP
week	NN	I-NP	I-NP
.	.	O	I-NP
But	CC	O	I-NP
analysts	NNS	B-NP	I-NP
reckon	VBP	B-VP	I-NP
underlying	VBG	B-NP	I-NP
support	NN	I-NP	I-NP
for	IN	B-PP	O
sterling	NN	B-NP	B-NP
has	VBZ	B-VP	I-NP
been	VBN	I-VP	I-NP
eroded	VBN	I-VP	I-NP
by	IN	B-PP	O
the	DT	B-NP	B-NP
chancellor	NN	I-NP	I-NP
's	POS	B-NP	I-NP
failure	NN	I-NP	I-NP
to	TO	B-VP	I-NP
announce	VB	I-VP	I-NP
any	DT	B-NP	I-NP
new	JJ	I-NP	I-NP
policy	NN	I-NP	I-NP
measures	NNS	I-NP	I-NP
in	IN	B-PP	O
his	PRP$	B-NP	B-NP
Mansion	NNP	I-NP	I-NP
House	NNP	I-NP	I-NP
speech	NN	I-NP	I-NP
last	JJ	B-NP	I-NP
Thursday	NNP	I-NP	I-NP
.	.	O	I-NP
This	DT	B-NP	I-NP
has	VBZ	B-VP	I-NP
increased	VBN	I-VP	I-NP
the	DT	B-NP	I-NP
risk	NN	I-NP	I-NP
of	IN	B-PP	O
the	DT	B-NP	B-NP
government	NN	I-NP	I-NP
being	VBG	B-VP	I-NP
forced	VBN	I-VP	I-NP
to	TO	I-VP	I-NP
increase	VB	I-VP	I-NP
base	NN	B-NP	I-NP
rates	NNS	I-NP	I-NP
to	TO	B-PP	I-NP
16	CD	B-NP	I-NP
%	NN	I-NP	I-NP
from	IN	B-PP	O
their	PRP$	B-NP	B-NP
current	JJ	I-NP	I-NP
15	CD	I-NP	I-NP
%	NN	I-NP	I-NP
level	NN	I-NP	I-NP
